City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
131,Castro,BR,-24.7911,-50.0119,70.75,90,47,4.43,scattered clouds
132,Alice Springs,AU,-23.7,133.8833,72.95,33,44,5.75,scattered clouds
133,Ust-Kulom,RU,61.6864,53.6902,6.75,99,67,2.82,broken clouds
134,Axim,GH,4.8699,-2.2405,80.11,84,100,9.8,light rain
135,Bud,US,39.447,-86.1758,64.42,25,0,16.35,clear sky
136,Solnechnyy,RU,50.7214,136.6319,18.7,96,100,4.65,light snow
137,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,25.39,93,100,4.47,light shower snow
138,Montepuez,MZ,-13.1256,38.9997,70.36,98,94,4.12,light rain
139,Kaitangata,NZ,-46.2817,169.8464,53.42,95,100,5.97,overcast clouds
140,Leningradskiy,RU,69.3833,178.4167,-18.31,98,49,5.03,scattered clouds
141,Sault Sainte Marie,CA,46.5168,-84.3333,30.76,55,100,5.75,overcast clouds
142,Ballina,AU,-28.8667,153.5667,65.01,99,100,9.86,overcast clouds
143,Hobyo,SO,5.3505,48.5268,79.56,72,27,15.86,scattered clouds
144,Coquimbo,CL,-29.9533,-71.3436,65.93,72,0,13.8,clear sky
145,Poum,NC,-20.2333,164.0167,82.13,77,14,14.18,few clouds
146,Severo-Kurilsk,RU,50.6789,156.125,27.63,87,100,7.94,overcast clouds
147,Sitka,US,57.0531,-135.33,42.69,70,100,14.97,light rain
148,Dongsheng,CN,39.8161,109.9776,44.31,36,53,19.06,broken clouds
149,Saskylakh,RU,71.9167,114.0833,-16.76,100,95,3.0,overcast clouds
150,Pacific Grove,US,36.6177,-121.9166,71.58,63,0,7.0,clear sky
151,Hauterive,FR,46.0901,3.4459,50.76,86,100,5.21,light rain
152,Karratha,AU,-20.7377,116.8463,86.16,66,9,11.9,clear sky
153,Sterling,US,39.0062,-77.4286,63.25,35,40,12.66,scattered clouds
154,Novikovo,RU,51.1537,37.8879,32.94,98,100,9.66,overcast clouds
155,North Bend,US,43.4065,-124.2243,59.23,81,100,3.44,overcast clouds
156,Penzance,GB,50.1186,-5.5371,41.68,82,6,11.45,clear sky
157,Sobolevo,RU,54.4299,31.8996,26.85,93,3,5.57,clear sky
158,Beringovskiy,RU,63.05,179.3167,-7.53,91,9,10.29,clear sky
159,Frankfort,ZA,-27.2667,28.4833,56.84,92,100,9.04,overcast clouds
160,Hit,IQ,33.6416,42.8251,51.85,35,6,9.93,clear sky
161,Verkhnyaya Inta,RU,65.9811,60.3094,0.09,100,99,4.63,overcast clouds
162,Raahe,FI,64.6833,24.4833,21.29,93,94,7.31,overcast clouds
163,Weihe,CN,32.9952,105.3247,56.89,58,22,3.94,few clouds
164,Husavik,IS,66.0449,-17.3389,43.77,63,99,39.17,overcast clouds
165,Ponta Do Sol,PT,32.6667,-17.1,56.03,61,72,18.79,broken clouds
166,Tambopata,PE,-12.7333,-69.1833,76.89,88,75,3.44,broken clouds
167,Tezu,IN,27.9167,96.1667,72.57,21,0,4.81,clear sky
168,Vila,PT,42.0304,-8.1588,45.48,86,100,3.65,light rain
169,Glenwood Springs,US,39.5505,-107.3248,45.41,68,40,0.0,scattered clouds
170,Iqaluit,CA,63.7506,-68.5145,-18.31,61,100,8.99,overcast clouds
171,Boddam,GB,57.4667,-1.7833,40.64,92,29,9.73,scattered clouds
172,Usinsk,RU,65.9939,57.5281,-5.35,100,80,2.75,broken clouds
173,Paris,FR,48.8534,2.3488,53.38,66,0,8.05,clear sky
174,Huarmey,PE,-10.0681,-78.1522,77.45,69,92,9.48,overcast clouds
175,Lorengau,PG,-2.0226,147.2712,81.5,79,100,6.17,overcast clouds
176,Bikaner,IN,28.0167,73.3,84.79,15,0,8.52,clear sky
177,Bonthe,SL,7.5264,-12.505,77.74,82,100,11.52,overcast clouds
178,Kungurtug,RU,50.5994,97.5228,3.87,99,100,1.45,overcast clouds
179,Saint George,US,37.1041,-113.5841,65.43,21,0,4.61,clear sky
180,Port Lincoln,AU,-34.7333,135.8667,72.88,65,100,11.63,overcast clouds
181,Mitu,CO,1.1983,-70.1733,87.01,56,94,2.59,overcast clouds
182,Kununurra,AU,-15.7667,128.7333,76.98,94,68,3.44,broken clouds
183,Lavrentiya,RU,65.5833,-171.0,-3.53,90,31,6.4,scattered clouds
184,Lypcha,UA,48.2611,23.3834,38.82,69,1,3.98,clear sky
185,Whitecourt,CA,54.1502,-115.6855,40.59,77,20,4.94,few clouds
186,The Valley,AI,18.217,-63.0578,82.54,61,40,20.71,scattered clouds
187,Trinidad,BO,-14.8333,-64.9,81.07,63,100,6.11,overcast clouds
188,Mandera,KE,3.9366,41.867,89.06,29,9,9.33,clear sky
189,Thunder Bay,CA,48.4001,-89.3168,31.28,56,100,7.0,overcast clouds
190,Chokurdakh,RU,70.6333,147.9167,-8.79,98,100,5.01,overcast clouds
191,Carnarvon,AU,-24.8667,113.6333,75.24,70,39,19.69,scattered clouds
192,Esil,KZ,51.9556,66.4042,6.55,97,100,3.09,overcast clouds
193,Vila Franca Do Campo,PT,37.7167,-25.4333,58.19,71,100,9.01,overcast clouds
194,Derzhavinsk,KZ,51.1,66.3167,4.75,98,100,5.1,overcast clouds
195,Caravelas,BR,-17.7125,-39.2481,81.82,69,100,6.85,overcast clouds
196,Disa,IN,24.25,72.1667,76.5,29,0,3.6,clear sky
197,Trujillo,PE,-8.116,-79.03,73.36,73,75,8.05,fog
198,Sheridan,US,44.8333,-106.9173,52.18,40,0,13.8,clear sky
199,Mayo,US,38.8876,-76.5119,63.93,42,0,14.97,clear sky
200,Asau,RO,46.4333,26.4,30.96,80,6,4.7,clear sky
201,Raufoss,NO,60.7264,10.6172,20.98,96,49,1.1,scattered clouds
202,Sembabule,UG,-0.0772,31.4567,66.27,85,35,3.09,scattered clouds
203,Tiksi,RU,71.6872,128.8694,-13.88,100,100,4.74,overcast clouds
204,Kuytun,RU,54.3419,101.5036,-15.16,95,92,3.42,overcast clouds
205,Sena Madureira,BR,-9.0656,-68.6569,80.37,84,67,2.3,broken clouds
206,Komsomolskiy,UZ,40.4272,71.7189,57.54,80,87,2.48,overcast clouds
207,Yuci,CN,37.6803,112.7319,47.95,34,100,4.47,dust
208,Moussoro,TD,13.6408,16.4901,83.53,11,74,19.19,broken clouds
209,Cabo San Lucas,MX,22.8909,-109.9124,81.61,53,40,6.91,scattered clouds
210,Hutchinson,US,38.0608,-97.9298,62.04,39,0,1.01,clear sky
211,Zalantun,CN,48.0,122.7167,21.99,85,100,5.01,overcast clouds
212,Makakilo City,US,21.3469,-158.0858,78.69,56,0,12.66,clear sky
213,Berlevag,NO,70.8578,29.0864,37.35,75,0,19.57,clear sky
214,Cozumel,MX,20.5083,-86.9458,82.47,86,100,14.97,overcast clouds
215,Kirn,DE,49.7833,7.45,47.16,82,59,1.5,broken clouds
216,Cambuci,BR,-21.5753,-41.9111,86.49,68,15,2.42,few clouds
217,Tabuk,PH,17.4189,121.4443,74.53,94,94,0.27,overcast clouds
218,Barrow,US,71.2906,-156.7887,-7.58,64,75,14.97,haze
219,Yaypan,UZ,40.3758,70.8156,57.02,82,100,9.95,overcast clouds
220,Goderich,CA,43.7501,-81.7165,37.9,90,100,3.71,overcast clouds
221,Glen Allen,US,37.666,-77.5064,65.41,31,0,5.01,clear sky
222,Kodiak,US,57.79,-152.4072,36.91,81,100,19.57,light rain
